Year,Player,Position,College,40,Vertical,Broad,Shuttle,Bench
2012,Brett Roy,DT,Nevada,5,30.5,108,4.62,32
2005,Sione Pouha,DT,Utah,5.02,32.5,107,4.49,32
2014,RaShede Hageman,DT,Minnesota,5.02,35.5,113,4.5,32
2010,Ndamukong Suh,DT,Nebraska,5.03,35.5,105,4.44,32
2016,Matt Ioannidis,DT,Temple,5.03,28,108,4.68,32
2019,Kevin Givens,DT,Penn State,5.08,31,115,4.62,32
2013,Josh Boyd,DT,Mississippi State,5.14,26.5,104,4.64,32
2016,Ronald Blair,DE,Appalachian State,5.15,30,113,4.53,32
2015,Tyeler Davison,DT,Fresno State,5.18,33,105,4.46,32
2014,Robert Thomas,DT,Arkansas,5.26,,,,32
2008,Frank Okam,DT,Texas,5.36,23,104,4.95,32
2014,Ryan Carrethers,DT,Arkansas State,5.47,26,87,4.6,32
2009,Ron Brace,DT,Boston College,5.48,28,99,4.73,32
2013,Knile Davis,RB,Arkansas,4.37,33.5,121,4.38,31
2011,Shane Vereen,RB,California,4.49,34,115,4.28,31
2009,Brian Orakpo,DE,Texas,4.63,39.5,,,31
2011,Patrick Kerrigan,DE,Purdue,4.67,33.5,122,4.39,31
2013,Vance McDonald,TE,Rice,4.69,33.5,119,4.53,31
2018,Kylie Fitts,DE,Utah,4.69,32.5,117,4.19,31
2012,Olivier Vernon,DE,Miami (FL),4.73,34.5,122,4.5,31
2011,Ryan Kerrigan,DE,Purdue,4.79,33.5,122,4.39,31
2008,Lawrence Jackson,DE,Southern California,4.87,31,108,4.4,31
2010,Mike Neal,DT,Purdue,4.87,33,113,4.53,31
2008,Derrick Harvey,DE,Florida,4.89,28.5,113,4.36,31
2014,Stephon Tuitt,DT,Notre Dame,4.92,,,,31
2008,Dre Moore,DT,Maryland,4.93,28,105,4.55,31
2006,Kedric Golston,DT,Georgia,4.94,33,111,4.45,31
2014,Kerry Wynn,DE,Richmond,4.97,34,113,,31
2018,Andrew Brown,DE,Virginia,5.03,28,101,4.48,31
2016,Andrew Billings,DT,Baylor,5.05,27.5,113,4.82,31
2011,Drake Nevis,DT,LSU,5.06,30.5,112,4.65,31
2006,Dusty Dvoracek,DT,Oklahoma,5.07,34,110,4.35,31
2011,Phil Taylor,DT,Baylor,5.09,29.5,100,4.77,31
2014,Tenny Palepoi,DT,Utah,5.1,30.5,111,4.53,31
2006,Rodrique Wright,DT,Texas,5.11,32,110,4.51,31
2010,Cam Thomas,DT,North Carolina,5.16,29,102,4.78,31
2009,Adrian Grady,DT,Louisville,5.19,32,105,4.72,31
2011,Ian Williams,DT,Notre Dame,5.21,28.5,98,4.78,31
2012,Dominique Hamilton,DT,Missouri,5.45,,,4.78,31
2020,Khaleke Hudson,LB,Michigan,4.56,33,120,,30
2016,Dan Vitale,RB,Northwestern,4.6,38.5,123,4.12,30
2017,Derek Rivers,DE,Youngstown State,4.61,35,123,,30
2019,Cody Barton,LB,Utah,4.64,32.5,116,4.03,30
2017,Samaje Perine,RB,Oklahoma,4.65,33,116,4.37,30
2017,Solomon Thomas,DE,Stanford,4.69,35,126,4.58,30
2007,Anthony Spencer,DE,Purdue,4.73,32.5,112,4.43,30
2016,Matt Judon,DE,Grand Valley State,4.73,35,109,4.52,30
2012,Fletcher Cox,DT,Mississippi State,4.77,26,103,4.53,30
2006,Elvis Dumervil,DE,Louisville,4.78,,,,30
2013,Stansly Maponga,DE,Texas Christian,4.78,,,,30
2016,Andy Janovich,RB,Nebraska,4.81,34,119,4.32,30
2006,Ray Edwards,DE,Purdue,4.82,39,114,4.57,30
2010,Lamarr Houston,DT,Texas,4.84,33.5,114,4.71,30
2011,D'Aundre Reed,DE,Arizona,4.84,35.5,119,4.32,30
2016,Dean Lowry,DE,Northwestern,4.87,32.5,114,4.38,30
2013,Jesse Williams,DT,Alabama,4.94,,,,30
2018,Taven Bryan,DT,Florida,4.98,35,119,4.48,30
2015,Derrick Lott,DT,Tennessee-Chattanooga,4.99,26.5,106,4.44,30
2019,Renell Wren,DT,Arizona State,5.01,32,118,4.53,30
2013,Sheldon Richardson,DT,Missouri,5.02,32,116,,30
2021,Jay Tufele,DT,Southern California,5.02,30,105,4.9,30
2006,LeKevin Smith,DT,Nebraska,5.03,30.5,109,4.92,30
2009,Alex Magee,DT,Purdue,5.03,29.5,103,4.55,30
2006,McKinley Boykin,DT,Mississippi,5.04,30.5,109,4.75,30
2011,Chris Neild,DT,West Virginia,5.06,29,106,4.46,30
2013,Abry Jones,DT,Georgia,5.06,26.5,101,,30
2015,Grady Jarrett,DT,Clemson,5.06,31,112,4.56,30
2009,Khalif Mitchell,DT,East Carolina,5.08,30,109,4.71,30
2013,Bennie Logan,DT,LSU,5.08,25,104,4.67,30
