Year,Player,Position,College,40,Vertical,Broad,Shuttle,Bench
2010,Tyson Alualu,DE,California,4.87,35.5,116,4.43,21
2006,Jeff King,TE,Virginia Tech,4.88,32.5,109,4.09,21
2008,Chris Harrington,DE,Texas A&M,4.88,,117,,21
2020,Nick Coe,LB,Auburn,4.89,29,116,,21
2005,Jonathan Babineaux,DT,Iowa,4.9,29.5,109,4.57,21
2014,Taylor Hart,DE,Oregon,4.92,,,,21
2005,Kelly Griffeth,TE,Fort Hays State,4.93,28,101,4.27,21
2015,Nick O'Leary,TE,Florida State,4.93,30.5,110,4.5,21
2013,Philip Lutzenkirchen,TE,Auburn,4.94,30.5,112,4.35,21
2012,Jamaar Jarrett,DE,Arizona State,4.96,30,114,4.34,21
2005,Tony Curtis,TE,Portland State,4.97,,115,,21
2012,J.R. Sweezy,DT,North Carolina State,4.97,36,113,4.41,21
2008,Adam Bishop,TE,Nevada,4.98,27,113,4.28,21
2019,Terrill Hanks,LB,New Mexico State,4.98,35.5,118,,21
2012,Rennie Moore,DT,Clemson,5,30.5,109,4.53,21
2017,Jonathan Allen,DE,Alabama,5,30,108,4.44,21
2007,Larry Birdine,DE,Oklahoma,5.07,32,107,4.76,21
2009,Tim Jamison,DE,Michigan,5.07,30,107,4.6,21
2016,Sheldon Day,DT,Notre Dame,5.07,30,102,4.5,21
2021,Isaiahh Loudermilk,DE,Wisconsin,5.08,28.5,112,4.55,21
2006,Manaia Brown,DT,Brigham Young,5.12,34.5,111,4.47,21
2007,David Patterson,DT,Ohio State,5.12,32.5,118,4.43,21
2017,Caleb Brantley,DT,Florida,5.14,27,105,4.5,21
2007,Mkristo Bruce,DE,Washington State,5.16,29,106,4.8,21
2016,Adolphus Washington,DT,Ohio State,5.17,27,99,4.79,21
2014,Josh Mauro,DE,Stanford,5.21,32,115,4.51,21
2005,Anttaj Hawthorne,DT,Wisconsin,5.25,27,98,4.69,21
2008,Marcus Dixon,DE,Hampton,5.27,26,111,4.67,21
2014,Dri Archer,WR,Kent State,4.26,38,122,4.06,20
2024,Quinyon Mitchell,CB,Toledo,4.33,38,120,,20
2011,Buster Skrine,CB,Tennessee-Chattanooga,4.37,37,122,3.9,20
2014,Justin Gilbert,CB,Oklahoma State,4.37,35.5,125,,20
2005,Matt Jones,TE,Arkansas,4.38,39.5,123,4.2,20
2020,C.J. Henderson,CB,Florida,4.39,37.5,127,,20
2009,Quinten Lawrence,WR,McNeese State,4.4,,,,20
2019,Will Harris,S,Boston College,4.41,36.5,123,4.12,20
2020,Darrynton Evans,RB,Appalachian State,4.41,37,125,,20
2020,Tanner Muse,S,Clemson,4.41,34.5,124,,20
2007,Josh Wilson,CB,Maryland,4.42,36.5,120,4.43,20
2014,Jeff Janis,WR,Saginaw Valley State,4.42,37.5,123,3.98,20
2019,Gary Jennings,WR,West Virginia,4.42,37,127,4.15,20
2020,Raymond Calais,RB,Louisiana-Lafayette,4.42,37.5,120,,20
2022,Isaiah Weston,WR,Northern Iowa,4.42,40,135,,20
2014,Henry Josey,RB,Missouri,4.43,34.5,116,4.13,20
2008,Pierre Garcon,WR,Mount Union,4.44,36.5,125,4.19,20
2012,Edwin Baker,RB,Michigan State,4.44,35,111,4.31,20
2008,Jonathan Wilhite,CB,Auburn,4.45,33.5,119,,20
2011,Alex Green,RB,Hawaii,4.45,34,114,4.15,20
2013,Markus Wheaton,WR,Oregon State,4.45,37,120,4.02,20
2020,Jeremy Chinn,S,Southern Illinois,4.45,41,138,,20
2010,Donald Jones,WR,Youngstown State,4.46,41,119,4.2,20
2010,Scott Long,WR,Louisville,4.46,41.5,123,4.09,20
2013,Lanear Sampson,WR,Baylor,4.46,33.5,119,4.38,20
2014,Michael Campanaro,WR,Wake Forest,4.46,39,122,4.01,20
2020,Terrell Burgess,S,Utah,4.46,33.5,122,,20
2005,Alphonso Hodge,CB,Miami (OH),4.47,34,,3.99,20
2009,Bradley Fletcher,CB,Iowa,4.47,38.5,122,4.29,20
2018,Christian Kirk,WR,Texas A&M,4.47,35.5,115,4.45,20
2020,Cam Akers,RB,Florida State,4.47,35.5,122,4.42,20
2007,Marshawn Lynch,RB,California,4.48,35.5,125,4.55,20
2016,Sterling Shepard,WR,Oklahoma,4.48,41,123,4.35,20
2017,DeAngelo Henderson,RB,Coastal Carolina,4.48,34,120,,20
2018,Equanimeous St. Brown,WR,Notre Dame,4.48,,,,20
2011,Jon Baldwin,WR,Pittsburgh,4.49,42,129,4.34,20
2012,Foswhitt Whittaker,RB,Texas,4.49,,,,20
2019,Miles Sanders,RB,Penn State,4.49,36,124,4.19,20
2020,John Reid,CB,Penn State,4.49,36.5,129,3.97,20
2008,Tashard Choice,RB,Georgia Tech,4.5,34,119,,20
2014,A.C. Leonard,TE,Tennessee State,4.5,34,127,,20
2019,Noah Fant,TE,Iowa,4.5,39.5,127,4.22,20
2014,Rashaad Reynolds,CB,Oregon State,4.51,37.5,123,4,20
2021,Chuba Hubbard,RB,Oklahoma State,4.51,36,120,4.3,20
2008,Darius Reynaud,WR,West Virginia,4.52,34.5,130,4.32,20
2013,Kenjon Barner,RB,Oregon,4.52,35.5,122,4.2,20
2021,Chris Evans,RB,Michigan,4.52,40.5,127,4.14,20
2005,Marion Barber,RB,Minnesota,4.53,40,122,,20
2010,Dexter McCluster,WR,Mississippi,4.53,37.5,118,4.06,20
2015,Justin Coleman,CB,Tennessee,4.53,37.5,124,3.98,20
2018,Mike Hughes,CB,Central Florida,4.53,35.5,127,4.13,20
2021,Jerry Jacobs,CB,Arkansas,4.53,34.5,120,4.33,20
2006,Wendell Mathis,RB,Fresno State,4.54,33,117,4.22,20
2012,Rishard Matthews,WR,Nevada,4.54,36,,4.19,20
2013,Miguel Maysonet,RB,Stony Brook,4.54,,,4.43,20
2015,Jeremiah Johnson,CB,Maryland,4.54,35,115,,20
2021,Mike Strachan,WR,Charleston (WV),4.54,35,127,4.36,20
2008,Antoine Cason,CB,Arizona,4.55,35.5,128,4.08,20
2013,Chris Harper,WR,Kansas State,4.55,35.5,116,4.39,20
2020,Josh Metellus,S,Michigan,4.55,36.5,124,4.4,20
2012,Jeremy Jones,CB,Wayne State,4.56,31.5,116,4.18,20
2014,Jeremy Hill,RB,LSU,4.56,29,112,,20
2015,Anthony Johnson,WR,West Texas A&M,4.56,24.5,102,4.83,20
2016,Aaron Burbridge,WR,Michigan State,4.56,30.5,115,4.31,20
2010,Arrelious Benn,WR,Illinois,4.57,37,118,,20
2012,Antonio Fenelus,CB,Wisconsin,4.57,32,109,4.2,20
2012,Jonas Gray,RB,Notre Dame,4.58,,,,20
2008,Marcus Smith,WR,New Mexico,4.59,26.5,111,4.42,20
2011,DeAndre Brown,WR,Southern Mississippi,4.59,29,117,4.33,20
2011,D.J. Williams,TE,Arkansas,4.59,33.5,111,4.51,20
2021,Trill Williams,CB,Syracuse,4.59,36,123,4.27,20
2014,Marcus Lucas,WR,Missouri,4.6,36,123,4.25,20
2006,Derrick Ross,RB,Tarleton State,4.61,35,112,4.35,20
2015,Matt Jones,RB,Florida,4.61,31.5,112,4.2,20
2021,Amon-Ra St. Brown,WR,Southern California,4.61,38.5,127,4.26,20
2009,Jeremiah Johnson,RB,Oregon,4.62,35,115,,20
2021,Carlos Basham,DE,Wake Forest,4.62,34,122,4.32,20
2022,Grant Calcaterra,TE,Southern Methodist (TX),4.62,,,,20
2016,Emmanuel Ogbah,DE,Oklahoma State,4.63,35.5,121,4.5,20
2016,Peyton Barber,RB,Auburn,4.64,32.5,111,4.21,20
2006,Mark Anderson,DE,Alabama,4.65,42,127,4.22,20
2010,Brian Jackson,CB,Oklahoma,4.65,35.5,120,4.22,20
2011,Evan Royster,RB,Penn State,4.65,34,113,4.18,20
2011,Vai Taua,RB,Nevada,4.65,34.5,112,4.18,20
2017,James Conner,RB,Pittsburgh,4.65,29,113,,20
2019,Emeke Egbule,LB,Houston,4.65,33,119,4.38,20
2020,Mykal Walker,LB,Fresno State,4.65,33,122,4.25,20
2010,Jermaine Gresham,TE,Oklahoma,4.66,35,113,4.53,20
2007,Syvelle Newton,WR,South Carolina,4.67,,,,20
2013,Jawan Jamison,RB,Rutgers,4.68,29,110,,20
2014,Victor Hampton,CB,South Carolina,4.69,33.5,116,4.2,20
2009,Kory Sperry,TE,Colorado State,4.7,33.5,122,4.25,20
2010,Garrett Graham,TE,Wisconsin,4.71,34.5,112,4.35,20
2016,Ben Braunecker,TE,Harvard,4.73,35.5,121,4.2,20
2011,Aldon Smith,DE,Missouri,4.74,34,118,4.5,20
2009,Gartrell Johnson,RB,Colorado State,4.75,34,114,,20
2014,Tim Flanders,RB,Sam Houston State,4.75,32,112,,20
2014,Austin Seferian-Jenkins,TE,Washington,4.75,,,,20
2018,David Wells,TE,San Diego State,4.75,33,116,4.59,20
2015,E.J. Bibbs,TE,Iowa State,4.76,,,,20
2015,Randall Telfer,TE,Southern California,4.77,,,,20
2009,John Phillips,TE,Virginia,4.78,33.5,112,4.27,20
2015,Clive Walford,TE,Miami (FL),4.79,35,120,4.57,20
2021,Miller Forristall,TE,Alabama,4.79,35,118,4.45,20
2006,Quinn Sypniewski,TE,Colorado,4.8,32.5,114,4.52,20
2007,Dante Rosario,TE,Oregon,4.8,36,115,4.47,20
2014,Demarcus Lawrence,DE,Boise State,4.8,34.5,112,4.31,20
2019,D'Cota Dixon,S,Wisconsin,4.81,33.5,119,,20
2014,Antonio Andrews,RB,Western Kentucky,4.82,29.5,104,4.49,20
2017,Tashawn Bower,DE,LSU,4.82,31.5,121,4.38,20
2019,Otaro Alaka,LB,Texas A&M,4.82,36,131,,20
2013,David Bass,DE,Missouri Western,4.84,30.5,111,4.33,20
2017,Ejuan Price,DE,Pittsburgh,4.84,31.5,117,4.31,20
2008,Jermichael Finley,TE,Texas,4.86,27.5,117,4.38,20
2018,Dorance Armstrong,DE,Kansas,4.87,30,118,4.23,20
2021,Rashad Weaver,DE,Pittsburgh,4.88,32,114,4.26,20
2005,Tyler King,DE,Connecticut,4.89,36,115,4.34,20
2008,John Carlson,TE,Notre Dame,4.89,30.5,113,4.28,20
2009,Zach Potter,DE,Nebraska,4.9,31,106,4.48,20
2017,Garrett Sickels,DE,Penn State,4.9,28,105,4.39,20
2007,Joe Newton,TE,Oregon State,4.91,31,109,4.57,20
2011,Pernell McPhee,DE,Mississippi State,4.91,28.5,107,4.59,20
2014,Caraun Reid,DT,Princeton,4.91,26.5,104,4.58,20
2010,Corey Wootton,DE,Northwestern,4.92,,,,20
2010,Levi Brown,QB,Troy,4.93,31.5,106,4.43,20
2016,Giorgio Newberry,DE,Florida State,4.94,30,114,4.78,20
2009,Rulon Davis,DE,California,5,30,111,,20
2010,Brandon Lang,DE,Troy,5,28.5,104,4.68,20
2015,Angelo Blackson,DT,Auburn,5.02,31,101,4.57,20
2015,Nick Boyle,TE,Delaware,5.04,30.5,112,4.23,20
2007,Jay Richardson,DE,Ohio State,5.06,33,112,4.54,20
2008,Red Bryant,DT,Texas A&M,5.06,28,111,4.64,20
2016,Branden Jackson,DE,Texas Tech,5.06,31.5,113,4.77,20
2014,Kerry Hyder,DT,Texas Tech,5.1,29.5,108,4.33,20
2008,Pat Sims,DT,Auburn,5.11,27,,,20
2016,Jihad Ward,DE,Illinois,5.11,25,111,4.63,20
2017,Ryan Glasgow,DT,Michigan,5.13,27.5,105,4.62,20
2019,Isaiah Buggs,DT,Alabama,5.15,24.5,96,4.83,20
2018,Zaycoven Henderson,DT,Texas A&M,5.16,29.5,105,4.58,20
2008,Joe Clermond,DE,Pittsburgh,5.17,25.5,107,4.73,20
2016,Sterling Bailey,DE,Georgia,5.23,30,111,4.73,20
2014,Anthony Johnson,DT,LSU,5.24,24.5,101,4.83,20
2021,Naquan Jones,DT,Michigan State,5.46,25,100,4.8,20
2019,Zedrick Woods,S,Mississippi,4.29,34.5,122,4.15,19
2012,Chris Owusu,WR,Stanford,4.31,40.5,129,4.11,19
2015,Trae Waynes,CB,Michigan State,4.31,38,122,4.39,19
2016,Anthony Brown,CB,Purdue,4.33,35,115,4.19,19
2016,Jonathan Jones,CB,Auburn,4.33,36,123,4.25,19
2008,Tyvon Branch,CB,Connecticut,4.35,34,120,4.4,19
2012,Chris Givens,WR,Wake Forest,4.35,33.5,118,4.23,19
2012,Kashif Moore,WR,Connecticut,4.36,43.5,126,4.05,19
2010,Ryan Mathews,RB,Fresno State,4.37,36,121,4.33,19
2009,Percy Harvin,WR,Florida,4.39,,,,19
2019,Darius West,S,Kentucky,4.39,33.5,113,,19
2008,Arman Shields,WR,Richmond,4.4,37.5,128,3.96,19
2011,Ras-I Dowling,CB,Virginia,4.4,,,,19
2011,Da'Rel Scott,RB,Maryland,4.4,34,117,4.2,19
2021,Jaycee Horn,CB,South Carolina,4.4,41.5,133,,19
2021,Terrace Marshall,WR,Louisiana State,4.4,39,125,,19
2010,Kevin Thomas,CB,Southern California,4.41,34.5,126,4.18,19
2011,Torrey Smith,WR,Maryland,4.41,41,126,4.13,19
2014,Quincy Enunwa,WR,Nebraska,4.41,,,,19
2017,Evan Engram,TE,Mississippi,4.42,36,125,4.23,19
2017,Chris Godwin,WR,Penn State,4.42,36,125,4,19
2020,Chase Claypool,WR,Notre Dame,4.42,40.5,126,,19
2005,Carnell Williams,RB,Auburn,4.43,35.5,118,4.17,19
2011,Brandon Hogan,CB,West Virginia,4.43,,,,19
2021,Avery Williams,CB,Boise State,4.43,33.5,121,4,19
2024,Bub Means,WR,Pittsburgh,4.43,39.5,122,,19
2007,Legedu Naanee,WR,Boise State,4.44,40,119,,19
2007,Laurent Robinson,WR,Illinois State,4.44,39,127,4.28,19
2017,Robert Davis,WR,Georgia State,4.44,41,136,4.28,19
2021,Brandon Stephens,CB,Southern Methodist (TX),4.44,38,127,4.29,19
2024,Ryan Flournoy,WR,Southeast Missouri State,4.44,39.5,132,,19
2015,Eric Rowe,CB,Utah,4.45,39,125,3.97,19
2019,Kris Boyd,CB,Texas,4.45,36.5,127,4.08,19
2017,Jabrill Peppers,LB,Michigan,4.46,35.5,128,,19
2009,Keenan Lewis,CB,Oregon State,4.47,33.5,123,,19
2012,Casey Hayward,CB,Vanderbilt,4.47,34,119,3.9,19
2024,Malik Washington,WR,Virginia,4.47,42.5,126,,19
2012,Asa Jackson,CB,Cal Poly,4.48,34.5,118,4.03,19
2014,George Atkinson,RB,Notre Dame,4.48,38,128,4.46,19
2005,Ryan Moats,RB,Louisiana Tech,4.49,36,116,4.1,19
2006,Jerome Harrison,RB,Washington State,4.49,34.5,124,4.07,19
2008,Steve Slaton,RB,West Virginia,4.49,33.5,118,,19
2015,Steven Nelson,CB,Oregon State,4.49,34.5,115,4.07,19
2019,A.J. Brown,WR,Mississippi,4.49,36.5,120,,19
2005,Cadillac Williams,RB,Auburn,4.5,35.5,118,4.15,19
2011,Stephen Burton,WR,West Texas A&M,4.5,34.5,117,4.31,19
2011,Jock Sanders,WR,West Virginia,4.5,34.5,121,4.13,19
2011,Jimmy Young,WR,Texas Christian,4.5,37,115,4.18,19
2012,Trumaine Johnson,CB,Montana,4.5,35.5,122,4.15,19
2005,Vernand Morency,RB,Oklahoma State,4.51,33.5,108,4.12,19
2009,Captain Munnerlyn,CB,South Carolina,4.51,37.5,121,4.2,19
2018,Davon Grayson,WR,East Carolina,4.51,34.5,124,,19
2019,Trayveon Williams,RB,Texas A&M,4.51,33,121,4.44,19
2009,Shawn Nelson,TE,Southern Mississippi,4.52,33,115,4.46,19
2010,Chris McGaha,WR,Arizona State,4.52,40,122,4.21,19
2010,Damian Williams,WR,Southern California,4.52,38,118,4.24,19
2012,Greg Childs,WR,Arkansas,4.52,36.5,125,,19
2015,Melvin Gordon,RB,Wisconsin,4.52,35,126,4.07,19
2017,Ashton Lampkin,CB,Oklahoma State,4.52,34.5,120,4.21,19
2021,Shemar Jean-Charles,CB,Appalachian State (NC),4.52,35,124,4.33,19
2021,Nate McCrary,RB,Saginaw Valley State (MI),4.52,34,123,4.19,19
2021,Amari Rodgers,WR,Clemson,4.52,33,121,4.31,19
2013,Giovani Bernard,RB,North Carolina,4.53,33.5,122,4.12,19
2016,Juston Burris,CB,North Carolina State,4.53,36.5,122,4.4,19
2016,Paul Perkins,RB,UCLA,4.54,32,124,,19
2008,Jalen Parmele,RB,Toledo,4.55,34,125,4.29,19
2018,Chase Edmonds,RB,Fordham,4.55,34,122,4.07,19
2005,Brandon Jacobs,RB,Southern Illinois,4.56,37,118,4.46,19
2007,Darius Walker,RB,Notre Dame,4.56,40.5,123,4.39,19
2008,Jack Williams,CB,Kent State,4.56,35.5,121,,19
2011,Kealoha Pilares,WR,Hawaii,4.56,,,,19
2013,Marcus Davis,WR,Virginia Tech,4.56,39.5,120,,19
2009,Chris Ogbonnaya,RB,Texas,4.57,35,111,4.29,19
2015,Jay Ajayi,RB,Boise State,4.57,39,121,4.1,19
2019,Cody Thompson,WR,Toledo,4.57,38.5,119,4.03,19
2007,Marquay McDaniel,WR,Hampton,4.58,33.5,114,4.35,19
2019,Qadree Ollison,RB,Pittsburgh,4.58,29.5,114,4.31,19
2021,Gerrid Doaks,RB,Cincinnati,4.58,39.5,120,4.28,19
2011,Ryan Williams,RB,Virginia Tech,4.59,40,123,4.18,19
2012,James Rodgers,WR,Oregon State,4.61,37,115,4.23,19
2020,Darius Anderson,RB,Texas Christian,4.61,36,128,4.19,19
2020,J.J. Taylor,RB,Arizona,4.61,34.5,118,4.15,19
2021,Frank Darby,WR,Arizona State,4.61,34.5,117,4.23,19
2006,Mike Bell,RB,Arizona,4.62,31.5,112,4.21,19
2009,Shonn Greene,RB,Iowa,4.62,37,121,4.4,19
2012,Mohamed Sanu,WR,Rutgers,4.62,36,126,4.22,19
2014,Carlos Hyde,RB,Ohio State,4.62,34.5,113,,19
2015,Malcolm Brown,RB,Texas,4.62,34.5,117,4.15,19
2015,Braylon Heard,RB,Kentucky,4.63,30.5,116,4.4,19
2019,Irv Smith,TE,Alabama,4.63,32.5,110,4.33,19
2020,Xavier McKinney,S,Alabama,4.63,36,122,,19
2020,Zack Moss,RB,Utah,4.65,33,,4.37,19
2012,Andre Branch,DE,Clemson,4.67,32.5,120,4.25,19
2019,Kahale Warring,TE,San Diego State,4.67,36.5,122,4.25,19
2007,Jacob Ford,DE,Central Arkansas,4.68,,,,19
2013,Montel Harris,RB,Temple,4.68,32.5,113,4.18,19
2017,Cethan Carter,TE,Nebraska,4.68,,,4.47,19
2017,Corey Clement,RB,Wisconsin,4.68,28.5,115,4.53,19
2021,Nick Eubanks,TE,Michigan,4.69,34,120,4.53,19
2012,Marc Tyler,RB,Southern California,4.7,30.5,110,,19
2014,KaDeem Carey,RB,Arizona,4.7,32.5,115,4.38,19
2007,Michael Allan,TE,Whitworth,4.71,36,123,4.52,19
2010,Anthony McCoy,TE,Southern California,4.71,35.5,113,4.57,19
2010,Jason Pierre-Paul,DE,South Florida,4.71,30.5,115,4.67,19
2005,Andre Frazier,DE,Cincinnati,4.72,38,123,4.12,19
2006,Charles Bennett,DE,Clemson,4.72,33.5,115,4.52,19
2006,Stanley McClover,DE,Auburn,4.72,39,114,4.5,19
2006,David Thomas,TE,Texas,4.72,37.5,113,4.34,19
2010,Dedrick Epps,TE,Miami (FL),4.72,,,,19
2016,Austin Hooper,TE,Stanford,4.72,33,117,4.32,19
2006,Damarius Bilbo,WR,Georgia Tech,4.73,36.5,115,4.18,19
2016,Jimmy Pruitt,CB,San Jose State,4.73,32,117,,19
2008,Mark Bradford,WR,Stanford,4.75,36.5,120,4.47,19
2007,Kenneth Darby,RB,Alabama,4.76,30,108,4.53,19
2007,Trent Edwards,QB,Stanford,4.78,,,4.46,19
2021,Raymond Johnson,DE,Georgia Southern,4.78,33,115,4.71,19
2015,Frank Clark,DE,Michigan,4.79,38.5,118,4.05,19
2007,Victor DeGrate,DE,Oklahoma State,4.8,,,,19
2020,Francis Bernard,LB,Utah,4.81,32.5,120,,19
2021,JaQuan Bailey,DE,Iowa State,4.81,26.5,110,4.8,19
2011,Weslye Saunders,TE,South Carolina,4.82,33.5,116,,19
2007,Martrez Milner,TE,Georgia,4.83,34,117,4.49,19
2021,John Bates,TE,Boise State,4.84,31.5,120,4.35,19
2006,Anthony Fasano,TE,Notre Dame,4.86,33.5,112,4.34,19
2014,Trent Murphy,DE,Stanford,4.86,35.5,116,4.2,19
2014,Ethan Westbrooks,DE,West Texas A&M,4.9,29,110,4.67,19
2019,Isaac Nauta,TE,Georgia,4.91,28,,4.43,19
2010,Colin Peek,TE,Alabama,4.92,,,,19
2006,Daniel Fells,TE,UC Davis,4.94,29.5,108,4.46,19
2016,Bryce Williams,TE,East Carolina,4.94,29.5,111,4.53,19
2017,Fadol Brown,DE,Mississippi,4.94,34,115,,19
2009,Cullen Harper,QB,Clemson,4.95,30,105,4.49,19
2015,Eric Tomlinson,TE,Texas-El Paso,4.98,30.5,110,4.54,19
2008,Wallace Gilberry,DE,Alabama,4.99,,,,19
2022,Zachary Carter,DT,Florida,4.99,27.5,110,,19
2009,Jarius Wynn,DE,Georgia,5.01,31.5,107,4.58,19
2010,Doug Worthington,DT,Ohio State,5.02,,,,19
2015,Ryan Williams,QB,Miami (FL),5.06,40,123,4.18,19
2005,Mike Montgomery,DE,Texas A&M,5.08,34.5,115,4.32,19
2021,Michael Dwumfour,DT,Rutgers,5.1,32,108,4.44,19
2010,Malcolm Sheppard,DT,Arkansas,5.11,28,100,4.78,19
2012,Chas Alecxih,DT,Pittsburgh,5.31,25.5,99,4.62,19
2017,Jaleel Johnson,DT,Iowa,5.38,28,100,4.75,19
2010,C.J. Spiller,RB,Clemson,4.27,,,,18
2005,Fabian Washington,CB,Nebraska,4.31,41.5,122,3.91,18
2017,Curtis Samuel,WR,Ohio State,4.31,37,119,4.33,18
2010,Jahvid Best,RB,California,4.34,32.5,113,4.17,18
2015,Chris Conley,WR,Georgia,4.35,45,139,4.3,18
2019,Terry McLaurin,WR,Ohio State,4.35,37.5,125,4.15,18
2019,Mark Fields,CB,Clemson,4.37,,,,18
2006,Maurice Jones-Drew,RB,UCLA,4.39,36,116,4.38,18
2008,Zack Bowman,CB,Texas Tech,4.39,30.5,122,4.21,18
2007,Mike Walker,WR,Central Florida,4.4,36.5,121,4.39,18
2010,Joe McKnight,RB,Southern California,4.4,36.5,120,,18
2021,Deon Jackson,RB,Duke,4.42,36,123,4.4,18
2021,Patrick Surtain,CB,Alabama,4.42,39,131,,18
2006,Joseph Addai,RB,LSU,4.43,37,125,4.47,18
2008,Mike Jenkins,CB,South Florida,4.43,34,117,4.4,18
2016,Ricardo Louis,WR,Auburn,4.43,38,132,,18
2017,Stanley Williams,RB,Kentucky,4.43,36,121,4.18,18
2019,Ken Webster,CB,Mississippi,4.43,43,133,4.14,18
2006,Maurice Drew,RB,UCLA,4.44,36,116,4.38,18
2008,Zackary Bowman,CB,Nebraska,4.44,30.5,122,4.21,18
2021,Tre Nixon,WR,Central Florida,4.44,35.5,125,4.25,18
2005,J.J. Arrington,RB,California,4.45,35,116,4.1,18
2006,Andre Hall,RB,South Florida,4.45,33,113,,18
2015,DJoun Smith,CB,Florida Atlantic,4.45,36,124,4.26,18
2021,Paulson Adebo,CB,Stanford,4.45,36.5,121,4.13,18
2021,Travis Etienne,RB,Clemson,4.45,33.5,128,,18
2005,Ronnie Brown,RB,Auburn,4.46,34,117,4.08,18
2006,Gerrick McPhearson,CB,Maryland,4.46,41.5,129,,18
2024,Kimani Vidal,RB,Troy (AL),4.46,37.5,120,,18
2016,Ryan Smith,CB,North Carolina Central,4.47,36,122,4.09,18
2008,Wilrey Fontenot,CB,Arizona,4.48,34,128,4.26,18
2011,A.J. Green,WR,Georgia,4.48,34.5,126,4.21,18
2014,Robert Herron,WR,Wyoming,4.48,35.5,124,4.27,18
2019,Hakeem Butler,WR,Iowa State,4.48,36,128,,18
2020,K.J. Osborn,WR,Miami (FL),4.48,37.5,123,4.35,18
2008,Tracy Porter,CB,Indiana,4.49,34,123,4.07,18
2009,Don Carey,CB,Norfolk State,4.49,,,,18
2009,Taurus Johnson,WR,South Florida,4.49,35.5,121,4.24,18
2010,Blair White,WR,Michigan State,4.49,33.5,115,4.03,18
2012,Nick Toon,WR,Wisconsin,4.49,37.5,,,18
2013,Johnathan Franklin,RB,UCLA,4.49,31.5,115,4.31,18
2015,Trey Williams,RB,Texas A&M,4.49,33.5,119,4.12,18
2006,Antonio Cromartie,CB,Florida State,4.5,38,132,,18
2009,Marlon Lucky,RB,Nebraska,4.5,33.5,114,,18
2011,Cortez Allen,CB,Citadel,4.5,35.5,129,4.01,18
2011,Brandon Burton,CB,Utah,4.5,32,118,4.07,18
2013,Chris Gragg,TE,Arkansas,4.5,37.5,125,4.51,18
2017,Kenny Golladay,WR,Northern Illinois,4.5,35.5,120,4.15,18
2019,Blake Cashman,LB,Minnesota,4.5,37.5,124,4.12,18
2020,Patrick Queen,LB,LSU,4.5,35,125,,18
2009,Ryan Mouton,CB,Hawaii,4.51,39.5,129,,18
2019,Ugo Amadi,S,Oregon,4.51,32.5,115,4.19,18
2019,Ugochukwu Amadi,CB,Oregon,4.51,32.5,115,4.19,18
2019,Rock Ya-Sin,CB,Temple,4.51,39.5,120,4.31,18
2022,Jaylen Watson,CB,Washington State,4.51,,,,18
2006,Wali Lundy,RB,Virginia,4.52,35,111,4.36,18
2007,Kolby Smith,RB,Louisville,4.52,38,114,4.34,18
2010,Joe Haden,CB,Florida,4.52,35,125,4.34,18
2011,Bilal Powell,RB,Louisville,4.52,,,,18
2012,Trevin Wade,CB,Arizona,4.52,34.5,116,4,18
2017,George Kittle,TE,Iowa,4.52,35,132,4.59,18
2005,Anthony Davis,RB,Wisconsin,4.53,38,119,,18
2005,Jerron Wishom,CB,Louisiana Tech,4.53,38,118,4.07,18
2008,James Hardy,WR,Indiana,4.53,31.5,125,4.2,18
2011,Ryan Whalen,WR,Stanford,4.53,38.5,123,4.09,18
2012,Charles Brown,CB,North Carolina,4.53,35.5,114,4.06,18
2020,K'Von Wallace,S,Clemson,4.53,38,133,4.15,18
2018,Jaylen Samuels,TE,North Carolina State,4.54,34.5,121,4.28,18
2018,M.J. Stewart,CB,North Carolina,4.54,35,118,4.28,18
2018,Courtland Sutton,WR,Southern Methodist,4.54,35.5,124,4.11,18
2024,Chau Smith-Wade,CB,Washington State,4.54,34.5,125,4.32,18
2011,Aaron Williams,CB,Texas,4.55,37.5,127,4.07,18
2016,Kenneth Dixon,RB,Louisiana Tech,4.56,37.5,121,4.28,18
2018,Josh Jackson,CB,Iowa,4.56,38,123,4.03,18
2021,Austin Watkins,WR,Alabama-Birmingham,4.56,,133,,18
2016,Michael Thomas,WR,Ohio State,4.57,35,126,4.13,18
2017,Bucky Hodges,TE,Virginia Tech,4.57,39,134,4.45,18
2009,Cary Harris,CB,Southern California,4.58,,,,18
2014,Lorenzo Taliaferro,RB,Coastal Carolina,4.58,33,116,4.22,18
2007,Duane Coleman,CB,Clemson,4.59,35.5,120,4.51,18
2016,Alex Collins,RB,Arkansas,4.59,28.5,113,,18
2018,Dylan Cantrell,WR,Texas Tech,4.59,38.5,130,4.03,18
2021,Andre Mintze,DE,Vanderbilt,4.59,,119,,18
2006,Brian Calhoun,RB,Wisconsin,4.6,31.5,124,4.2,18
2011,Graig Cooper,RB,Miami (FL),4.6,,114,4.03,18
2018,Ade Aruna,DE,Tulane,4.6,38.5,128,4.48,18
2018,Mark Walton,RB,Miami (FL),4.6,31.5,118,,18
2019,Kelvin Harmon,WR,North Carolina State,4.6,32.5,117,4.32,18
2008,Jacob Tamme,TE,Kentucky,4.61,30,109,4.27,18
2013,Matt Furstenburg,TE,Maryland,4.62,35.5,115,4.35,18
2017,Kareem Hunt,RB,Toledo,4.62,36.5,119,,18
